title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
I Feel Love (single version),Vanessa‐Mae,549,124.964134216,C,minor,0.917891323566,264.855499268,0.955,0.0483,0.000191,0.838,0.176,0.542,-5.83,0.647,-5.83,bright,atonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
White Bird (original single edit),Vanessa‐Mae,473,133.995178223,F,major,0.918700873852,212.610610962,0.764,0.0283,0.00362,0.13,0.101,0.648,-6.512,0.804,-6.512,bright,atonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Aurora,Vanessa‐Mae,334,85.9373550415,A,major,0.776083230972,234.187759399,0.65,0.112,0.0319,0.466,0.153,0.396,-11.806,0.427,-11.806,dark,tonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Theme From Caravans,Vanessa‐Mae,529,101.921417236,G,major,0.941637396812,307.487335205,0.618,0.0408,0.393,0.697,0.0632,0.582,-11.507,0.873,-11.507,bright,tonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
City Theme,Vanessa‐Mae,628,172.265731812,D,major,0.871171891689,271.908569336,0.817,0.0546,0.409,0.856,0.0691,0.494,-10.642,0.512,-10.642,bright,tonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Emerald Tiger,Vanessa‐Mae,414,123.990936279,G,major,0.522862613201,232.594284058,0.896,0.0446,0.0764,0.511,0.179,0.253,-5.28,0.576,-5.28,bright,tonal,instrumental,not_sad,not_relaxed,party,not_happy,not_electronic,not_aggressive,not_acoustic
Velvet Rope,Janet | Vanessa‐Mae,520,107.596961975,F,minor,0.603025555611,295.81060791,0.733,0.0519,0.0411,0.0051,0.654,0.62,-6.461,0.281,-6.461,bright,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Classical Gas (Reggae version),Vanessa‐Mae,623,166.658218384,A,minor,0.831247389317,222.589385986,0.776,0.0462,0.00745,0.0188,0.303,0.671,-8.02,0.769,-8.02,dark,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Summertime,Vanessa‐Mae,210,96.4856719971,B,minor,0.493336826563,112.333335876,0.0659,0.041,0.962,0.906,0.142,0.256,-22.986,0.144,-22.986,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Solace,Vanessa‐Mae,468,101.968299866,A,minor,0.781903326511,273.799987793,0.637,0.0401,0.212,0.713,0.165,0.222,-7.123,0.262,-7.123,dark,atonal,instrumental,sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Tron,Wendy Carlos,432,71.9248199463,A,minor,0.0721167176962,290.351013184,0.171,0.046,0.791,0.958,0.11,0.2,-16.995,0.0368,-16.995,dark,atonal,instrumental,sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Wormhole,Wendy Carlos,298,132.25743103,D,minor,0.0296611580998,149.85333252,0.242,0.0388,0.843,0.731,0.0832,0.176,-15.729,0.0342,-15.729,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Anthem for Keyboard Solo,Wendy Carlos,137,123.4295578,E,minor,0.692630946636,69.4266662598,0.0265,0.0606,0.959,0.971,0.133,0.458,-29.96,0.749,-29.96,dark,atonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Ebben? Ne andrò lontana,Maria Callas,599,154.402008057,E,minor,0.035125169903,287.895507812,0.125,0.0445,0.977,0.0834,0.189,0.154,-17.006,0.0397,-17.006,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
"Tosca, Act II: ""Vissi d'arte""",Maria Callas | Orchestra del Teatro alla Scala di Milano | Victor de Sabata,451,135.572906494,D#,major,0.0124954041094,196.231842041,0.14,0.0461,0.985,0.271,0.128,0.159,-16.138,0.0994,-16.138,bright,tonal,voice,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
"Suor Angelica. ""Senza mamma""",Maria Callas,751,136.244247437,G#,minor,0.0034510048572,333.413299561,0.0738,0.0435,0.984,0.000687,0.0925,0.211,-18.933,0.0432,-18.933,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
"Gianni Schicchi. ""O mio babbino caro""",Maria Callas,345,178.205657959,G#,major,0.0744275674224,154.506637573,0.108,0.0424,0.972,0.0715,0.153,0.17,-16.626,0.0792,-16.626,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
"I vespri siciliani: Atto IV. ""Arrigo! ah, parli a un core""",Maria Callas | Orchestre de la Société des Concerts du Conservatoire | Nicola Rescigno,615,154.3802948,G,major,0.0162447635084,272.425628662,0.035,0.0506,0.964,5.1e-05,0.0933,0.253,-26.831,0.0399,-26.831,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
"Scena et Aria “Ah! perfido”, op. 65",Maria Callas | Orchestre de la Société des Concerts du Conservatoire | Nicola Rescigno,1945,163.831268311,D#,major,0.0150452619419,868.253356934,0.154,0.0486,0.979,0.00121,0.138,0.249,-14.534,0.0386,-14.534,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Time to Say Goodbye,Katherine Jenkins,428,117.692855835,F,major,0.821024119854,224.156738281,0.444,0.0345,0.657,4.32e-06,0.115,0.18,-7.518,0.246,-7.518,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Have Yourself a Merry Little Christmas,Katherine Jenkins,381,154.557891846,A#,major,0.448612779379,177.057952881,0.303,0.0328,0.95,0.000132,0.104,0.282,-12.049,0.0817,-12.049,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
J'avais reve d'une autre vie (I Dreamed A Dream),Katherine Jenkins,480,117.572143555,C,major,0.116328820586,226.742858887,0.268,0.0346,0.914,2.01e-05,0.129,0.172,-10.669,0.067,-10.669,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
