title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
Discovery,DJ BoBo,105,143.443847656,D,minor,0.646613121033,48.8751029968,0.158,0.04,0.792,0.908,0.142,0.188,-13.512,0.0379,-13.512,dark,atonal,instrumental,sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Annie Christian,Prince,497,99.8067016602,F,major,0.366764992476,298.266662598,0.299,0.158,0.00674,0.000559,0.113,0.576,-18.81,0.331,-18.81,dark,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Youtopia,Armin van Buuren | Adam Young,523,126.905769348,G,major,0.665662229061,239.893325806,0.797,0.027,0.0301,0.00984,0.061,0.527,-7.923,0.538,-7.923,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Blast Off (radio edit),David Guetta | Kaz James,396,127.848464966,G#,major,0.962570548058,187.977142334,0.993,0.18,0.00255,2.49e-06,0.197,0.656,-1.702,0.128,-1.702,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Millennium,Robbie Williams,375,91.2242660522,C#,major,0.925537467003,247.640823364,0.902,0.0471,0.0556,0,0.196,0.545,-5.302,0.777,-5.302,dark,atonal,voice,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
BOOM,Tiësto | Gucci Mane | Sevenn,366,122.975250244,A#,major,0.814222335815,179.512207031,0.84,0.0502,0.0164,0.00622,0.329,0.886,-3.386,0.203,-3.386,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Blow (radio edit),Martin Solveig | Laidback Luke,364,127.963172913,F,minor,0.822237014771,170.866943359,0.922,0.0468,0.0282,0.00874,0.144,0.766,-2.133,0.617,-2.133,dark,tonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
The Riddle (single cut),Gigi D’Agostino,431,126.938781738,G#,major,0.951953530312,204.329803467,0.879,0.0375,0.0135,0.000297,0.0888,0.74,-5.267,0.935,-5.267,bright,atonal,instrumental,not_sad,not_relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Anyway,Armand van Helden | A‐Trak | Duck Sauce,694,128.093719482,F,minor,0.948670983315,325.85144043,0.847,0.373,0.0288,5.78e-05,0.277,0.781,-5.327,0.65,-5.327,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
World Hold On (Children of the Sky),Bob Sinclar | Steve Edwards,735,127.019989014,G#,minor,0.970735728741,347.872650146,0.617,0.0361,0.202,0.844,0.111,0.67,-9.263,0.784,-9.263,bright,tonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
