title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
Don’t Answer the Door,B.B. King,509,108.359924316,A#,major,0.628123998642,310.204071045,442,0.0383,615,0.00192,163,347,-9939,217,-9939,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
I’m Leaving,John Lee Hooker,205,93.2448272705,F,major,0.920972704887,132.759994507,519,0.0371,0.34,672,131,706,-12007,936,-12007,bright,atonal,voice,not_sad,relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Alimony Blues,T‐Bone Walker,358,135.045669556,D,major,0.669764399529,160.867843628,311,0.0452,938,0.00532,211,616,-11654,861,-11654,bright,atonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Miss You,The Rolling Stones,526,109.728538513,D,minor,0.663343310356,288.444091797,0.71,0.0392,443,0.0215,344,795,-4746,845,-4746,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Exitus,Chet Baker,1233,116.925971985,D#,major,0.366902023554,629.263671875,232,0.0311,808,0.0011,115,654,-12191,406,-12191,bright,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Ruby,Ray Charles,442,114.563095093,C,major,0.325665742159,233.854278564,125,0.0306,0.96,0.000312,104,254,-21284,199,-21284,dark,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,aggressive,not_acoustic
Magnolia,Eric Clapton & Friends,543,148.015670776,F,major,0.90298897028,221.570617676,234,0.0424,0.63,141,0.0957,0.54,-15193,359,-15193,bright,tonal,voice,sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
I Should Have Known Better,The Beatles,356,130.55960083,G,major,0.945179402828,164.093338013,444,0.0289,257,0,115,682,-7689,0.91,-7689,bright,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Good Morning Little School Girl,Muddy Waters,564,166.042419434,A,major,0.887569189072,206.207977295,307,0.0836,689,0.00663,0.0843,626,-14645,0.62,-14645,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
You’re Nobody Till Somebody Loves You,Jamie Cullum,559,151.907409668,F,major,0.345588445663,223.895507813,354,39,768,1.23e-05,0.0688,0.59,-13636,499,-13636,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Moon And Cypress,Mose Allison,338,80.5044174194,G,minor,0.843220174313,246.572692871,0.0654,0.0425,971,711,0.0942,623,-21971,274,-21971,dark,tonal,instrumental,sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
In a Silent Way,Miles Davis,2579,132.324325562,E,major,0.0879589766264,1192.33337402,276,0.0357,945,871,108,426,-15045,0.0493,-15045,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Says My Heart,Billie Holiday,369,131.813186646,B,major,0.708329081535,168.777145386,0.26,0.0686,912,2.2e-06,0.12,684,-14748,628,-14748,bright,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Mary Lou,Lightnin’ Hopkins,242,117.620018005,A,minor,0.814814031124,126.026664734,491,0.0386,907,715,102,0.57,-7115,611,-7115,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
"Someone Else Is Steppin' In (Slippin' Out, Slippin' In)",Buddy Guy,472,104.754493713,F,major,0.801464736462,261.537963867,872,146,124,9.45e-05,695,0.52,-7254,645,-7254,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,not_electronic,not_aggressive,not_acoustic
Sunday In Savannah,Nina Simone,316,132.893371582,G,major,0.663988113403,146.333328247,144,0.0829,846,1.96e-06,791,365,-18212,182,-18212,dark,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
I Ain’t Got You,Gary Moore,347,120.725830078,E,minor,0.935157299042,173.139587402,704,0.0503,0.00344,0.0327,0.0963,548,-2608,725,-2608,dark,atonal,instrumental,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
Nothing to Fear,Chris Rea,433,77.8615036011,A,minor,0.58025765419,270.053863525,387,0.0275,566,171,0.0675,0.52,-12036,143,-12036,dark,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Roll Over Beethoven,Chuck Berry,557,153.411636353,A#,major,0.857005059719,219.559188843,797,193,837,0,209,715,-10154,841,-10154,bright,atonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Voodoo Chile,Stevie Ray Vaughan,594,172.265487671,D#,minor,0.957555055618,203.62449646,645,55,0.000115,854,925,315,-14621,518,-14621,dark,tonal,voice,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
Heroes Are to Find,Fleetwood Mac,354,99.127204895,D,major,0.892664670944,214.83102417,751,0.0279,172,0.000258,203,652,-8541,922,-8541,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
The Last Farewell,Elvis Presley,339,83.2866973877,F,major,0.695048213005,243.931427002,346,0.0316,847,518,194,0.47,-14627,462,-14627,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
"Empty Bed Blues, Parts 1 & 2",Bessie Smith,556,84.2524642944,A#,major,0.597379624844,385.866668701,0.0413,0.0831,995,0.00534,172,644,-17232,541,-17232,bright,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Soul Power (live),James Brown,722,115.628829956,C#,minor,0.938693463802,373.368164062,911,0.0859,0.0936,9.27e-06,125,657,-5301,576,-5301,dark,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,aggressive,not_acoustic
McGrupp and the Watchful Hosemasters,Phish,902,93.6107635498,A,major,0.8995911479,517.564086914,747,0.04,234,221,683,0.41,-8537,438,-8537,bright,tonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Achey Rakey Heart,Eugene Chadbourne | Evan Johns,546,122.488677979,A,major,0.911445617676,272.848968506,946,108,0.00139,8.58e-05,485,371,-8765,606,-8765,dark,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
Little Red Rooster,Howlin’ Wolf,444,78.0847244263,D,minor,0.453351259232,339.150665283,185,0.0409,761,1.1e-06,218,546,-18752,682,-18752,dark,atonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
I Don't Want to Set the World on Fire,The Ink Spots,291,89.0363845825,A,major,0.399515002966,179.231994629,146,0.0333,962,1.05e-05,249,445,-16064,332,-16064,dark,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Steeled Blues,The Yardbirds,248,95.4367523193,E,major,0.955003738403,155.454696655,416,0.0357,0.00105,922,205,348,-13831,504,-13831,bright,atonal,instrumental,not_sad,relaxed,party,happy,not_electronic,not_aggressive,acoustic
Far more Blue,Dave Brubeck,762,166.132019043,F,minor,0.583778858185,279.866668701,329,42,0.52,0.0221,0.0883,523,-16.36,785,-16.36,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,not_electronic,aggressive,not_acoustic
"Furniture Man Blues, Part 2",Victoria Spivey | Lonnie Johnson,447,154.566253662,C,major,0.110391646624,190.373336792,0.0777,0.0452,991,4.78e-06,203,792,-9696,379,-9696,dark,atonal,instrumental,sad,not_relaxed,not_party,happy,electronic,not_aggressive,acoustic
All Your Love I Miss Lovin,Stevie Ray Vaughan and Double Trouble,877,118.16394043,C,major,0.921156644821,434.076721191,853,0.0591,0.0126,15,568,478,-8815,861,-8815,dark,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
I Don't Know Why (I Just Do),Nat King Cole,350,111.975563049,F,major,0.83807682991,192.992660522,0.0412,0.0603,994,286,107,592,-21465,159,-21465,dark,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Poor Girl,Savoy Brown,463,172.265548706,C,major,0.922873854637,249.521636963,482,0.0506,555,112,306,431,-9607,745,-9607,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Clapperclowe,John Taylor | John Surman,638,122.599723816,E,major,0.518333554268,305.528167725,0.34,0.0366,797,904,0.0892,474,-20594,608,-20594,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
The Hoax,Paul Motian | Bill Frisell | Joe Lovano,141,154.651000977,G,major,0.189016819,60.2906112671,293,0.0463,474,4.6e-05,923,424,-17502,354,-17502,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Bernie's Tune,Chris Flory | Duke Robillard,635,122.067939758,D,minor,0.277296364307,289.123260498,274,0.0412,878,0.0338,96,619,-15575,477,-15575,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
House of the Rising Sun,Bob Dylan,265,97.8345870972,A,minor,0.59535831213,162.011428833,393,0.0377,0.0593,0.0115,105,249,-8615,158,-8615,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Well Did You Evah?,Bing Crosby | Frank Sinatra,392,143.739059448,D#,major,0.264215320349,186.665222168,0.25,0.0553,808,1.33e-06,0.19,484,-13658,641,-13658,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
"Hello, Dolly!",Frank Sinatra | Count Basie,249,92.8074493408,D,minor,0.794317424297,161.123260498,635,131,613,0,349,344,-11693,623,-11693,bright,atonal,voice,not_sad,not_relaxed,party,happy,electronic,aggressive,not_acoustic
Throb,Gary Burton,619,112.674552917,C,major,0.955142617226,323.924316406,552,0.0423,359,0.000117,668,449,-16272,751,-16272,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
The Sky Is Crying,Elmore James,472,178.205780029,G,major,0.853848576546,166.426116943,611,0.0348,0.0226,435,114,294,-6268,567,-6268,bright,tonal,voice,not_sad,not_relaxed,party,not_happy,not_electronic,not_aggressive,not_acoustic
Mississippi River Blues,Big Bill Broonzy,257,95.5231781006,C,major,0.693240761757,162.821228027,309,0.0483,903,0.0169,182,796,-9522,675,-9522,bright,atonal,instrumental,sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
I'm Crazy 'Bout Your Pie,Sonny Terry,286,93.0760726929,C,major,0.883470118046,182.41305542,383,67,639,0,0.0631,671,-13244,0.87,-13244,bright,tonal,voice,sad,not_relaxed,party,happy,not_electronic,not_aggressive,acoustic
Crawling Up a Hill,John Mayall,366,172.265823364,G#,major,0.566559076309,136.213317871,808,0.0431,149,0.000488,144,478,-5522,0.74,-5522,dark,tonal,instrumental,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Fumado,Evan Parker | Ghost-in-the-Machine,1141,132.741790771,D#,minor,0.288678228855,547.400024414,778,395,925,564,941,447,-9687,0.48,-9687,dark,atonal,voice,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Black Throated Wind,Grateful Dead,837,142.769821167,A,major,0.465822577477,355.880004883,481,0.0392,0.75,0.1,115,544,-11441,569,-11441,bright,tonal,instrumental,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
"Lay, Lady Lay",Cassandra Wilson,1037,147.021713257,C,major,0.770186185837,461.400817871,527,0.0532,365,171,0.0616,811,-11566,505,-11566,bright,tonal,voice,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
This Happy Madness,Stacey Kent,878,178.206008911,C,major,0.650767505169,340.727996826,337,177,917,0.000579,102,524,-12552,296,-12552,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
You Are So Beautiful,Joe Cocker,331,84.9120635986,G#,major,0.936969339848,232.411422729,182,0.0298,846,0.00267,134,297,-10944,92,-10944,bright,tonal,instrumental,sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
For a Thousand Years,Burton | Corea | Metheny | Haynes | Holland,747,144.193481445,D,major,0.686229348183,323.631011963,247,0.0321,947,907,102,383,-19084,0.33,-19084,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Locomotion,John Coltrane,938,133.691726685,A#,major,0.798775851727,433.609436035,701,52,765,0.0177,0.32,514,-6864,851,-6864,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
City Called Heaven,Mahalia Jackson,403,152.07522583,A#,minor,0.639394342899,200.411422729,0.0693,0.0369,865,8.37e-05,111,285,-18164,46,-18164,dark,atonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Don’t Want No Woman,Memphis Minnie,341,111.638259888,A,minor,0.472219347954,194.933334351,407,37,872,0.00098,281,474,-9.9,596,-9.9,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Notes,Paul Bley | Paul Motian,526,90.3367919922,C,major,0.0789068937302,259.839996338,191,0.0456,594,0.0662,366,359,-24244,142,-24244,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Speedball,Taj Mahal,182,112.020530701,B,minor,0.269581407309,99.8458023071,0.21,525,984,6.04e-06,0.65,617,-18343,825,-18343,dark,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Tom Traubert’s Blues (Four Sheets to the Wind in Copenhagen),Tom Waits,838,135.695724487,F,major,0.738102197647,399.034912109,275,0.0317,799,6.52e-06,172,302,-12.81,328,-12.81,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Don't Start Me Talkin',Sonny Boy Williamson,297,114.741256714,G,major,0.634085536003,156.786941528,0.75,113,0.54,8.25e-06,337,582,-11206,686,-11206,bright,atonal,voice,not_sad,relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Tout Suite No. 1 In F Major: 2. Mov.,Moondog | The London Saxophonic,279,86.7857513428,C#,major,0.502462148666,193.854690552,0.27,0.0255,899,799,142,445,-14.05,0.37,-14.05,dark,atonal,instrumental,sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Pannonica,Thelonious Monk,382,120.56993103,C,major,0.16227966547,188.551834106,255,0.0334,677,167,115,536,-9.73,0.14,-9.73,bright,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Let Me Love You,Dinah Washington,257,111.538993835,D#,major,0.606568694115,128.917190552,422,0.0338,0.77,0,155,0.35,-8974,439,-8974,bright,atonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Love the Life,The James Taylor Quartet | Noel McKoy,470,120.825904846,G,major,0.965146839619,233.900405884,562,0.0437,0.0362,0.0266,0.0641,737,-14471,811,-14471,bright,atonal,instrumental,not_sad,not_relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
Lend Me Your Love,Memphis Slim,354,143.45741272,C,major,0.789485573769,177.39755249,236,0.0477,737,0.00291,989,555,-15256,454,-15256,bright,atonal,instrumental,sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Misdirected Blues,Robben Ford,538,119.518615723,C,major,0.909473121166,271.266662598,793,0.0479,0.00498,0.00182,191,641,-9199,569,-9199,bright,atonal,voice,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
Stormy Monday Blues,Etta James,736,172.265655518,F,major,0.452343612909,311.379577637,342,0.0316,753,0,285,259,-9559,455,-9559,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Shake Down the Stars,Ella Fitzgerald,283,94.2492904663,D,minor,0.257540225983,165.860137939,0.11,0.0334,913,1.1e-05,218,484,-11782,505,-11782,dark,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Easy Lovin’ Girl,Johnny Winter,362,126.843322754,C,major,0.85175216198,169.116729736,543,0.0651,241,0.000125,248,391,-17004,259,-17004,dark,atonal,voice,not_sad,relaxed,party,not_happy,electronic,not_aggressive,acoustic
Choo Choo Ch’Boogie,Louis Jordan,455,172.265533447,F,major,0.937962591648,161.733337402,744,0.0383,844,5.6e-06,0.0223,0.74,-7759,722,-7759,bright,atonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Hottentot,Gov’t Mule | John Scofield,1147,100.410217285,C#,major,0.942276299,666.880004883,879,0.0869,297,0.81,896,627,-5183,803,-5183,bright,atonal,instrumental,not_sad,not_relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
I Can't Believe It,The Animals,657,184.570922852,A#,major,0.746646344662,213.670028687,587,0.0574,671,5.55e-05,0.0886,447,-5745,456,-5745,bright,tonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
The Clapping Song,Ray Russell,313,91.7061538696,A,minor,0.951247692108,205.818771362,968,298,0.0121,3.9e-05,136,556,-4044,405,-4044,dark,tonal,voice,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Depois da paixão,Túlio Mourão | Pat Metheny,590,143.75163269,F,major,0.210745260119,291.839996338,0.0535,0.0404,0.99,917,106,254,-19901,0.0504,-19901,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Foolish I Know,Jools Holland,215,93.2632598877,D,major,0.847087442875,128,605,156,369,1,368,353,-8789,889,-8789,dark,atonal,voice,not_sad,relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Kansas City,Albert King,1053,154.574050903,C,major,0.858461558819,416,466,0.12,742,0.0914,0.27,784,-9193,717,-9193,bright,atonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Coming Out Swingin’,Candye Kane | Laura Chavez,298,108.851463318,C,major,0.927532076836,163.466659546,783,0.0353,521,2.32e-06,0.0729,742,-4274,961,-4274,bright,tonal,instrumental,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
Miles,Mark Murphy,366,143.402938843,F,minor,0.0166216380894,177.057952881,405,0.0571,568,0,0.0877,654,-11366,591,-11366,dark,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
L.A. Song,Beth Hart,825,129.062698364,G,major,0.961350023746,409.944000244,615,0.0451,206,0,985,351,-7621,337,-7621,dark,atonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
Someday,Al Jarreau | Dianne Reeves,664,161.663223267,F,major,0.869323194027,249.730606079,475,0.0473,454,5.43e-06,0.14,648,-10136,517,-10136,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Oh Jane Snavely,Bob Brookmeyer,352,110.024734497,A#,major,0.664600431919,192.522445679,275,0.0495,982,932,0.11,545,-15008,581,-15008,bright,atonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Say Goodbye,Norah Jones,295,88.9418029785,F,major,0.950289130211,200.280822754,526,0.0325,153,0.0572,104,769,-8759,641,-8759,bright,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
A Wheel Within a Wheel,Wynton Marsalis,823,139.609298706,D,minor,0.518726110458,395.714477539,476,0.0318,683,342,159,377,-15991,697,-15991,bright,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
King Fish Blues,Junior Wells,422,78.1692886353,A#,major,0.257186502218,318.493286133,102,0.0461,583,0.0142,102,0.63,-19062,465,-19062,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Checkin' on My Baby,John Mayall & The Bluesbreakers,728,152.746246338,F,major,0.767506241798,302.550201416,462,0.0321,0.0313,0.00017,142,421,-12087,826,-12087,bright,atonal,instrumental,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Be My Guest,Fats Domino,331,146.738861084,A#,major,0.895245909691,136.22857666,425,0.0542,815,0.00338,0.0613,0.65,-10893,961,-10893,bright,tonal,voice,not_sad,relaxed,party,happy,electronic,not_aggressive,not_acoustic
Maybe I Might,Seasick Steve,371,86.411277771,G,major,0.606769025326,250.932250977,272,0.0355,926,0.0414,0.0991,427,-14097,316,-14097,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Famous Players,Dave Douglas,808,111.995193481,A,minor,0.893246352673,412.891418457,854,0.0692,0.00535,539,108,403,-8172,462,-8172,dark,atonal,instrumental,not_sad,not_relaxed,party,happy,electronic,not_aggressive,not_acoustic
Girl in Saskatoon,Johnny Cash,249,85.1820602417,G,major,0.715881109238,137.226669312,363,0.0519,882,0,181,606,-13399,834,-13399,dark,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Hands on Your Stomach,Otis Taylor,543,131.309387207,D,minor,0.930249512196,247.960006714,427,0.0274,438,752,0.0847,492,-12.78,0.0361,-12.78,bright,atonal,voice,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Now I'm Satisfied,Alberta Hunter,296,106.175621033,F,major,0.096827045083,166.693328857,183,63,0.72,0,0.35,613,-17914,726,-17914,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Marchin',John Lewis | Hank Jones,487,108.321708679,C,minor,0.766515374184,270.053863525,713,0.0631,743,0,347,679,-8938,837,-8938,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Hooray for Love,Curtis Stigers,296,86.161895752,G,major,0.869503796101,167.758361816,359,0.0938,862,3.42e-05,0.0686,703,-10112,685,-10112,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Django/Mountain Time,Joe Bonamassa,1571,154.915374756,G,major,0.521709084511,704,491,0.0385,268,398,149,159,-9181,134,-9181,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Last Night,Little Walter,226,70.4884033203,F,major,0.464462310076,163.266662598,443,0.0862,358,0,232,458,-10422,0.45,-10422,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
October Song,Amy Winehouse,333,97.9324264526,F,major,0.956881165504,204.956741333,842,256,0.0112,135,0.0381,672,-7673,694,-7673,bright,tonal,instrumental,not_sad,relaxed,party,not_happy,electronic,not_aggressive,not_acoustic
If You Love Me,Little Milton,301,115.314949036,F,major,0.70711261034,157.245529175,557,0.0516,586,0.0271,187,688,-5782,772,-5782,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Grieving Blues,Tampa Red,289,91.1338729858,G,major,0.811732172966,174.759994507,0.38,0.0707,972,0.000255,138,564,-10156,755,-10156,bright,atonal,voice,sad,not_relaxed,party,not_happy,not_electronic,not_aggressive,acoustic
