title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
Dear Prudence,The Beatles,708,144.91545105,C,major,0.496557533741,284.160003662,0.529,0.0436,0.16,0.0681,0.108,0.388,-10.533,0.332,-10.533,bright,atonal,instrumental,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
Thunder Road,Bruce Springsteen | The E Street Band,699,114.112876892,F,major,0.00729174166918,392.333068848,0.758,0.0364,0.623,1.78e-05,0.531,0.369,-5.871,0.663,-5.871,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Strutter ’78,KISS,473,128.969802856,A#,minor,0.736882269382,220.63999939,0.701,0.0536,0.153,0.0111,0.409,0.669,-7.173,0.922,-7.173,bright,tonal,voice,not_sad,not_relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Why Can't I Be You,The Cure,358,104.946434021,A#,major,0.070591211319,203.520004272,0.949,0.048,0.461,8.56e-06,0.0522,0.629,-4.664,0.719,-4.664,bright,tonal,voice,sad,relaxed,not_party,not_happy,electronic,aggressive,acoustic
Royals,Bruce Springsteen | The E Street Band,661,172.265731812,G,major,0.182096242905,291.500396729,0.259,0.0509,0.882,0.817,0.112,0.62,-15.436,0.153,-15.436,bright,tonal,voice,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Scary Monsters (and Super Creeps),David Bowie,577,154.940505981,E,major,0.920929551125,222.586486816,0.743,0.0507,0.273,0.000406,0.258,0.71,-10.553,0.866,-10.553,dark,tonal,voice,not_sad,not_relaxed,party,happy,not_electronic,aggressive,not_acoustic
Isso para mim é perfume,Titãs,322,96.1283493042,E,minor,0.889844357967,199.026931763,0.942,0.0699,0.00168,2.74e-05,0.115,0.361,-10.794,0.673,-10.794,dark,atonal,voice,not_sad,not_relaxed,party,not_happy,not_electronic,aggressive,not_acoustic
Wait Till Your Boat Goes Down,XTC,573,133.991729736,A,major,0.632853388786,260.82131958,0.678,0.035,0.136,6.53e-06,0.0888,0.662,-7.522,0.562,-7.522,bright,atonal,voice,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
The Last Farewell,Elvis Presley,339,83.2866973877,F,major,0.695048213005,243.931427002,0.346,0.0316,0.847,0.518,0.194,0.47,-14.627,0.462,-14.627,bright,tonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Take It Back,Pink Floyd,692,112.283111572,G,major,0.696186304092,372.355194092,0.602,0.0289,0.133,0.00613,0.273,0.469,-11.156,0.131,-11.156,bright,tonal,voice,not_sad,not_relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
