title,artist,beat_count,bpm,key,key_scale,average_loudness,length,energy,speechiness,acousticness,instrumentalness,liveness,danceability,loudness,valence,time_signature,timbre,tonal_atonal,voice_instrumental,mood_sad,mood_relaxed,mood_party,mood_happy,mood_electronic,mood_aggressive,mood_acoustic
Pasión,Juan D'Arienzo,272,101.64440155,E,minor,0.540528655052,162.85333252,0.475,0.105,0.883,0.238,0.0968,0.768,-9.487,0.832,-9.487,dark,tonal,instrumental,sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Corazón de artista,Juan D'Arienzo,258,107.384376526,G,minor,0.963944852352,137.346038818,0.56,0.0485,0.886,0.158,0.0569,0.684,-6.055,0.882,-6.055,bright,tonal,instrumental,not_sad,not_relaxed,party,happy,not_electronic,not_aggressive,not_acoustic
No te quiero más,Juan D'Arienzo,320,126.471717834,B,minor,0.647769331932,149.472000122,0.503,0.0623,0.928,0.011,0.318,0.518,-9.437,0.762,-9.437,bright,tonal,voice,sad,relaxed,not_party,happy,electronic,not_aggressive,acoustic
Compadrón,Juan D'Arienzo,358,129.224411011,A,minor,0.521347165108,167.105300903,0.369,0.0469,0.983,0.0411,0.108,0.753,-8.681,0.805,-8.681,dark,atonal,instrumental,sad,relaxed,not_party,happy,electronic,not_aggressive,acoustic
Mentias,Juan D'Arienzo,256,103.878646851,A,major,0.563695251942,146.024490356,0.296,0.0953,0.978,0.746,0.242,0.786,-10.056,0.846,-10.056,bright,tonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
"Ríe, payaso",Juan D'Arienzo | Carlos Casares,366,126.785560608,A,minor,0.641177177429,172.798950195,0.474,0.0751,0.951,0.157,0.108,0.647,-7.238,0.908,-7.238,dark,tonal,voice,sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Bolada de aficionado,Juan D'Arienzo,292,117.676979065,D,minor,0.688089489937,150.308578491,0.654,0.0495,0.968,0.878,0.103,0.782,-7.61,0.967,-7.61,bright,tonal,instrumental,sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
El rey del compás,Juan D'Arienzo,326,136.245819092,F,major,0.491180151701,144.613876343,0.339,0.0535,0.536,0.822,0.0785,0.608,-9.376,0.555,-9.376,bright,tonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
El huracán,Juan D'Arienzo,289,128.375076294,G,minor,0.866149783134,135.706115723,0.353,0.138,0.504,0.821,0.0242,0.789,-12.011,0.681,-12.011,bright,tonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,not_acoustic
Lágrimas y sonrisas,Juan D'Arienzo,334,108.568504333,C,minor,0.847175240517,185.063034058,0.387,0.0362,0.984,0.0767,0.13,0.689,-6.277,0.748,-6.277,bright,tonal,instrumental,sad,relaxed,not_party,happy,electronic,not_aggressive,acoustic
Barrio de tango,Aníbal Troilo,382,125.754463196,F,minor,0.888472318649,190.119186401,0.206,0.0677,0.912,0.0461,0.102,0.469,-5.587,0.579,-5.587,bright,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,not_acoustic
Tinta roja,Aníbal Troilo,393,129.879196167,A,major,0.796210348606,180.47895813,0.278,0.0518,0.984,0.0693,0.0878,0.69,-5.027,0.575,-5.027,bright,tonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Taconeando,Aníbal Troilo | Roberto Grela,350,110.5936203,C,major,0.0487135350704,188.969802856,0.146,0.0468,0.918,0.77,0.119,0.516,-15.549,0.247,-15.549,bright,atonal,instrumental,sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Cantor de mi barrio,Roberto Goyeneche | Aníbal Troilo,392,119.722007751,D,major,0.674811422825,188.543991089,0.463,0.0366,0.993,0.597,0.137,0.355,-8.42,0.4,-8.42,bright,atonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Callejón,Aníbal Troilo,348,120.08833313,G,major,0.673753798008,183.614700317,0.293,0.0422,0.965,8.45e-05,0.253,0.371,-14.35,0.431,-14.35,dark,atonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
El tamango,Aníbal Troilo,346,132.736251831,G,major,0.826950371265,156.94367981,0.47,0.072,0.897,0.882,0.103,0.784,-4.422,0.775,-4.422,bright,atonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
De vuelta al bulín,Aníbal Troilo,422,122.726203918,C,minor,0.788886725903,210.192001343,0.27,0.0457,0.99,0.656,0.511,0.457,-10.373,0.612,-10.373,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Sobre el pucho,Aníbal Troilo | Roberto Grela,263,122.661376953,F#,major,0.411108314991,129.410614014,0.148,0.0703,0.861,0.0241,0.335,0.562,-15.7,0.407,-15.7,bright,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
El último organito,Aníbal Troilo,363,119.889564514,D,minor,0.471917808056,180.959976196,0.303,0.0613,0.973,0.000445,0.36,0.402,-10.88,0.303,-10.88,dark,atonal,voice,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Toda mi vida,Aníbal Troilo,394,132.839660645,D,minor,0.4112585783,178.938781738,0.369,0.0486,0.958,0.434,0.0972,0.717,-5.791,0.789,-5.791,bright,atonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Amelitango,Astor Piazzolla,490,143.611740112,G,major,0.43237170577,206,0.328,0.0596,0.791,0.000567,0.115,0.554,-13.145,0.705,-13.145,bright,tonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Buenos Aires Hora Cero,Astor Piazzolla,665,108.787872314,C,major,0.459641396999,357.693328857,0.25,0.0321,0.389,0.765,0.157,0.346,-10.202,0.109,-10.202,bright,atonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Años De Soledad,Astor Piazzolla,666,163.368286133,G#,minor,0.0732561349869,285.279998779,0.481,0.0276,0.259,0.434,0.0595,0.599,-12.505,0.602,-12.505,bright,atonal,instrumental,not_sad,relaxed,not_party,happy,electronic,not_aggressive,acoustic
Zita,Astor Piazzolla,833,132.446090698,A,minor,0.168300271034,376.559997559,0.248,0.0386,0.794,0.92,0.0922,0.514,-14.946,0.201,-14.946,dark,tonal,instrumental,not_sad,not_relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Sex-Tet,Astor Piazzolla,1552,122.99773407,C,major,0.718702971935,738.559997559,0.319,0.0775,0.82,0.583,0.97,0.5,-15.485,0.285,-15.485,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,electronic,not_aggressive,acoustic
Michelangelo '70,Astor Piazzolla,327,116.909202576,F#,minor,0.914556145668,175.333877563,0.233,0.0359,0.591,0.893,0.117,0.529,-14.748,0.431,-14.748,dark,atonal,instrumental,not_sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,not_acoustic
L'Evasion,Astor Piazzolla,743,152.746444702,A,minor,0.28311675787,363,0.359,0.0736,0.9,0.00213,0.862,0.401,-16.39,0.507,-16.39,dark,tonal,instrumental,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Oblivion,Astor Piazzolla,393,151.025238037,C,minor,0.0306692235172,230.034286499,0.189,0.0431,0.747,0.886,0.109,0.19,-16.622,0.154,-16.622,dark,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
El choclo,Astor Piazzolla,479,123.306419373,D,major,0.829427659512,236.826126099,0.465,0.0735,0.683,0.0146,0.459,0.556,-9.784,0.766,-9.784,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Volver,Astor Piazzolla,396,118.130226135,D,minor,0.843726277351,191.712646484,0.169,0.0477,0.992,0.126,0.0868,0.322,-11.661,0.412,-11.661,bright,atonal,voice,not_sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Un tropezón,Osvaldo Pugliese,289,110.978469849,F,major,0.535081207752,162.335983276,0.334,0.0561,0.784,0,0.091,0.474,-13.325,0.33,-13.325,bright,atonal,voice,not_sad,relaxed,not_party,happy,not_electronic,not_aggressive,not_acoustic
Mala junta,Osvaldo Pugliese,429,120.670455933,F#,minor,0.890989482403,216.581222534,0.186,0.0728,0.953,0.681,0.0773,0.551,-14.635,0.671,-14.635,dark,atonal,instrumental,sad,relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
El mareo,Osvaldo Pugliese,351,117.55532074,E,major,0.589294016361,178.390197754,0.194,0.0436,0.98,0.784,0.0928,0.546,-13.038,0.565,-13.038,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Dos ojos tristes,Osvaldo Pugliese,387,125.469261169,G#,major,0.754897534847,190.014694214,0.291,0.0465,0.977,0.0498,0.243,0.578,-11.51,0.594,-11.51,bright,tonal,instrumental,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
Príncipe,Osvaldo Pugliese,266,117.686927795,A,major,0.567794322968,139.20652771,0.341,0.0372,0.972,0.203,0.127,0.429,-10.924,0.371,-10.924,bright,atonal,voice,sad,not_relaxed,not_party,happy,not_electronic,not_aggressive,acoustic
Remembranza,Osvaldo Pugliese,413,110.956214905,D,major,0.462843775749,220.577957153,0.334,0.0343,0.936,9.36e-05,0.0973,0.334,-6.647,0.23,-6.647,bright,atonal,voice,sad,relaxed,not_party,not_happy,not_electronic,not_aggressive,acoustic
